platformId;name;alternate_name;release;company;generation;type;family;retroCompatibility;locked
73;Neo Geo Pocket;;28/10/1998;SNK;5;Handheld console;Neo Geo Pocket;Neo Geo Pocket Color (partial);1
51;Neo Geo Pocket Color;;16/03/1999;SNK;6;Handheld console;Neo Geo Pocket;Neo Geo Pocket;1
22;Neo Geo X;;18/12/2012;SNK Playmore;8;Handheld console;Neo Geo;;1
96;NES;Nintendo Entertainment System, Famicom;15/07/1983;Nintendo;3;Home video game console;Famicom;;1
43;New Nintendo 3DS;;11/10/2014;Nintendo;8;Handheld console;Nintendo 3DS;Nintendo DS, Nintendo DSi, Nintendo 3DS;
34;N-Gage;;07/10/2003;Nokia;6;Handheld console;;;1
18;Nintendo 3DS;3DS;26/02/2011;Nintendo;8;Handheld console;Nintendo 3DS;Nintendo DS (partial), Nintendo Dsi;
64;Nintendo 64;N64;23/06/1996;Nintendo;5;Home video game console;Nintendo 64;;1
20;Nintendo DS;DS;21/11/2004;Nintendo;7;Handheld console;Nintendo DS;Game Boy Advance;1
19;Nintendo DSi;DSi;01/11/2008;Nintendo;7;Handheld console;Nintendo DS;Nintendo DS (partial);1
9;Nintendo Switch;Switch;03/03/2017;Nintendo;8;Home video game console, Handheld console;;;0
170;North Star;;1976;North Star Computers Inc.;;Computer;;;1
48;Nuon;;jul-00;VM Labs;6;Home video game console;;;1
145;OC-2000;;1979;Societe Occitane Electronique;2;Home video game console;Video TV Game, 1292 Advanced Programmable Video System;;1
10;Oculus Quest;;21/05/2019;Oculus;8;VR Headset;Quest;;0
208;Oric;;01/09/1982;Tangerine Computer Systems;;Computer;;;1
225;OS/2;;dic-87;IBM;;Computer;;;1
33;Ouya;;25/06/2013;Ouya Inc.;8;Microconsole;;;0
136;Palmtex Portable Videogame System;PVS, Super Micro, Palmtex Super Micro, Home Computer Software Super Micro;1984;Palmtex;2;Handheld console;;;1
183;PC-6000 Series;;nov-81;NEC;;Computer;;;1
182;PC-8000 Series;;1979;NEC;;Computer;;;1
184;PC-8800 Series;;nov-81;NEC;;Computer;;;1
198;PC-98;PC-9800 Series;oct-82;NEC;;Computer;;;1
66;PC-FX;;23/12/1994;NEC, Hudson Soft;5;Home video game console;;;1
